step,time,body,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,energy,momentum_x,momentum_y
40,0.400000,1,-8.27971574720291042683,2.948863730350878253,0,-0.40525496887029755964,2.2435495656890482196,0,-16830.4593614150238676847,124.9999999999999998753,950.0000000000000002114
40,0.400000,2,2.14975563247122934517,-9.6164299402517895723,0,0.2606744579276213614,1.41303460330910528276,0,-16830.4593614150238676847,124.9999999999999998753,950.0000000000000002114
50,0.500000,0,10.5334623156243055797,4.3815885250250386184,0,0.632786613029293215,-1.46648712910896648735,0,-16830.459361414929452745,124.9999999999999998428,950.00000000000000026834
50,0.500000,1,-8.3130439700906791498,3.1699524689405854226,0,-0.26151339911431231515,2.17807100460457547634,0,-16830.459361414929452745,124.9999999999999998428,950.00000000000000026834
50,0.500000,2,2.17332556741405457214,-9.4638206741231001069,0,0.21138018277061030865,1.6392567466425239285,0,-16830.459361414929452745,124.9999999999999998428,950.00000000000000026834
60,0.600000,0,10.58794331123039714605,4.2304536193257214905,0,0.4564829937323475281,-1.5561370719278103625,0,-16830.45936141385723313084,124.99999999999999985634,950.0000000000000003605
60,0.600000,1,-8.33205139346692837105,3.38444293431949204593,0,-0.1187612469551309335,2.111542374229963449,0,-16830.45936141385723313084,124.99999999999999985634,950.0000000000000003605
60,0.600000,2,2.19216173476399329024,-9.28854162496595147616,0,0.165990652040418646,1.8665882126994382282,0,-16830.45936141385723313084,124.99999999999999985634,950.0000000000000003605
70,0.700000,0,10.6246771421020367827,4.07036892481096048525,0,0.27772392920615798865,-1.64555295176163240864,0,-16830.4593614116987755738,124.9999999999999998699,950.0000000000000004906
70,0.700000,1,-8.33681380756586543534,3.59221749288647557554,0,0.0234631308982934948,2.0437098691537881131,0,-16830.4593614116987755738,124.9999999999999998699,950.0000000000000004906
70,0.700000,2,2.2066534830961124416,-9.0904341969688086238,0,0.1244976493356821225,2.09598577763714028876,0,-16830.4593614116987755738,124.9999999999999998699,950.0000000000000004906
80,0.800000,0,10.6433812011343585466,3.9013366024537505345,0,0.0957549562328692304,-1.735162332619875773,0,-16830.4593614082315818511,124.9999999999999998645,950.00000000000000058276
80,0.800000,1,-8.32736110904443122346,3.79313265541094225066,0,0.1656174140589484032,1.97430924505400190254,0,-16830.4593614082315818511,124.9999999999999998645,950.00000000000000058276
80,0.800000,2,2.21719375491874474217,-8.8692427026841966991,0,0.0869827072144497972,2.32843815804664750537,0,-16830.4593614082315818511,124.9999999999999998645,950.00000000000000058276
90,0.900000,0,10.64369306549646631356,3.7233150819245207307,0,-0.0902700473152613282,-1.82541409726086333064,0,-16830.459361403083066066,124.9999999999999997696,950.0000000000000006695
90,0.900000,1,-8.30367726121608416563,3.9870177494785006429,0,0.30816406260284235475,1.90306011072402594313,0,-16830.459361403083066066,124.9999999999999997696,950.0000000000000006695
90,0.900000,2,2.22418859159319071687,-8.6246100473707260416,0,0.05362874409319735435,2.5649887174097893018,0,-16830.459361403083066066,124.9999999999999997696,950.0000000000000006695
100,1.000000,0,10.62515993140721563327,3.536216358425447276,0,-0.28131811947887663084,-1.9167901444180966231,0,-16830.4593613956663051404,124.99999999999999975063,950.0000000000000007183
100,1.000000,1,-8.2656993662137084873,4.17367300598439021537,0,0.4515794076252570284,1.829659869495080586,0,-16830.4593613956663051404,124.99999999999999975063,950.0000000000000007183
100,1.000000,2,2.2280681414960153116,-8.3560710408824391271,0,0.0247388096491893049,2.8067604082105708958,0,-16830.4593613956663051404,124.99999999999999975063,950.0000000000000007183
110,1.100000,0,10.5872246915336637736,3.3399020274537545369,0,-0.4785156535896368267,-2.00981904644927183073,0,-16830.45936138507058452146,124.9999999999999997181,950.0000000000000007725
110,1.100000,1,-8.2133157916982672851,4.3528670102110426835,0,0.5963635520857623233,1.7537770197654396336,0,-16830.45936138507058452146,124.9999999999999997181,950.0000000000000007725
110,1.100000,2,2.2292999952164833787,-8.06304305132438228326,0,0.00076439055319200896,3.05498422016133485947,0,-16830.45936138507058452146,124.9999999999999997181,950.0000000000000007725
120,1.200000,0,10.5292075471805301912,3.13417782519787029233,0,-0.6832000868323083401,-2.1050924152686130546,0,-16830.45936136987512552404,124.9999999999999997181,950.00000000000000086736
120,1.200000,1,-8.1463632448578651668,4.5243334379836323139,0,0.7430516235955427984,1.67504350067147491835,0,-16830.45936136987512552404,124.9999999999999997181,950.00000000000000086736
